Accuracy Score,Precision Score,Recall Score,F1-Score,Matthews (phi) Score
0.692,0.6305189775367932,0.8541448058761805,0.7254901960784313,0.41612560925801423
0.711,0.6344086021505376,0.9286463798530955,0.7538330494037478,0.48009304009049575
0.767,0.7482161060142711,0.770199370409234,0.7590486039296794,0.5337931523639172
