max_depth,"without Pruning 
Fit finished in s","without Pruning 
Prediction finished in s","Pruning (Legacy) 
Fit finished in s","Pruning (Legacy) 
Prediction finished in s","Pruning (Faster) 
Fit finished in s","Pruning (Faster) 
Prediction finished in s","RandomForestRegressor 
Fit finished in s","RandomForestRegressor 
Prediction finished in s"
10,0.1055653095,0.0016179085,0.103317976,33.0078277588,0.1082148552,12.310791254,2.6582624912,0.0171468258
11,0.1190338135,0.0009388924,0.1427776814,89.2633821964,0.1105623245,21.6226973534,2.8156490326,0.0187950134
12,0.1230828762,0.0009174347,0.121155262,251.8770534992,0.1205971241,54.5276231766,3.0663826466,0.0263977051
13,0.1144850254,0.0010223389,0.1155736446,543.6478557587,0.1138401031,102.6175892353,2.8513615131,0.0204102993
